"Year";"month";"SOI";"P";"Panomaly"
1888;"Nov";-12.6;NA;NA
1888;"Dec";-2.4;NA;NA
1889;"Jan";-25.9;NA;NA
1889;"Feb";-1.7;NA;NA
1889;"Mar";-27.5;NA;NA
1889;"Apr";-0.5;NA;NA
1889;"May";-1.9;NA;NA
1889;"Jun";22;NA;NA
1889;"Jul";1.6;NA;NA
1889;"Aug";2.1;NA;NA
1889;"Sep";11.1;NA;NA
1889;"Oct";4.2;NA;NA
1889;"Nov";23;NA;NA
1889;"Dec";22;NA;NA
1890;"Jan";20.8;NA;NA
1890;"Feb";11;NA;NA
1890;"Mar";14.3;NA;NA
1890;"Apr";6.9;NA;NA
1890;"May";3.6;NA;NA
1890;"Jun";5.8;NA;NA
1890;"Jul";-2.3;NA;NA
1890;"Aug";-3.1;NA;NA
1890;"Sep";9.3;NA;NA
1890;"Oct";3.6;NA;NA
1890;"Nov";2.6;NA;NA
1890;"Dec";0.6;NA;NA
1891;"Jan";15.6;NA;NA
1891;"Feb";-3.6;NA;NA
1891;"Mar";-9.5;NA;NA
1891;"Apr";4.5;NA;NA
1891;"May";-0.3;NA;NA
1891;"Jun";-1.5;NA;NA
1891;"Jul";-6.3;NA;NA
1891;"Aug";-8.9;NA;NA
1891;"Sep";-10.6;NA;NA
1891;"Oct";0.6;NA;NA
1891;"Nov";-4.7;NA;NA
1891;"Dec";-4.5;NA;NA
1892;"Jan";2.7;NA;NA
1892;"Feb";-10.2;NA;NA
1892;"Mar";11.1;NA;NA
1892;"Apr";6.9;NA;NA
1892;"May";10;NA;NA
1892;"Jun";19.6;NA;NA
1892;"Jul";7.4;NA;NA
1892;"Aug";5.9;NA;NA
1892;"Sep";6.3;NA;NA
1892;"Oct";8.5;NA;NA
1892;"Nov";-0.7;NA;NA
1892;"Dec";3.7;NA;NA
1893;"Jan";11.3;NA;NA
1893;"Feb";7.7;NA;NA
1893;"Mar";-1.4;NA;NA
1893;"Apr";1.2;NA;NA
1893;"May";-3.5;NA;NA
1893;"Jun";10.7;NA;NA
1893;"Jul";14;NA;NA
1893;"Aug";7.8;NA;NA
1893;"Sep";5.7;NA;NA
1893;"Oct";7.9;NA;NA
1893;"Nov";2.6;NA;NA
1893;"Dec";1.6;NA;NA
1894;"Jan";17.5;NA;NA
1894;"Feb";10;NA;NA
1894;"Mar";5.6;NA;NA
1894;"Apr";-3;NA;NA
1894;"May";-5.1;NA;NA
1894;"Jun";-1.5;NA;NA
1894;"Jul";-2.3;NA;NA
1894;"Aug";-5.7;NA;NA
1894;"Sep";-1.6;NA;NA
1894;"Oct";1.8;NA;NA
1894;"Nov";7.2;NA;NA
1894;"Dec";0.1;NA;NA
1895;"Jan";5.6;NA;NA
1895;"Feb";3;NA;NA
1895;"Mar";-0.3;NA;NA
1895;"Apr";-7.1;NA;NA
1895;"May";-8.2;NA;NA
1895;"Jun";-4.7;NA;NA
1895;"Jul";-0.4;NA;NA
1895;"Aug";-6.3;NA;NA
1895;"Sep";-4;NA;NA
1895;"Oct";-5.6;NA;NA
1895;"Nov";-8.6;NA;NA
1895;"Dec";-3.5;NA;NA
1896;"Jan";1.3;NA;NA
1896;"Feb";4.9;NA;NA
1896;"Mar";-6.3;NA;NA
1896;"Apr";-8.8;NA;NA
1896;"May";-42.2;NA;NA
1896;"Jun";-30.6;NA;NA
1896;"Jul";-20.6;NA;NA
1896;"Aug";-22.4;NA;NA
1896;"Sep";-19;NA;NA
1896;"Oct";-19;NA;NA
1896;"Nov";-11.9;NA;NA
1896;"Dec";-14.2;NA;NA
1897;"Jan";-12.5;NA;NA
1897;"Feb";-7.4;NA;NA
1897;"Mar";-16.6;NA;NA
1897;"Apr";-17.8;NA;NA
1897;"May";-16.9;NA;NA
1897;"Jun";0.2;NA;NA
1897;"Jul";-2.3;NA;NA
1897;"Aug";0.8;NA;NA
1897;"Sep";0.2;NA;NA
1897;"Oct";1.8;NA;NA
1897;"Nov";-8;NA;NA
1897;"Dec";10.3;NA;NA
1898;"Jan";7;NA;NA
