"time"	"median"	"lower"	"upper"	"component"
1801	0.425939	-0.27536755	0.97066045	"HCI1"
1802	0.08378975	-0.85055295	0.7630073	"HCI1"
1803	0.693349	0.10194315	1.1704965	"HCI1"
1804	-0.578293	-1.9022605	0.3637203	"HCI1"
1805	-0.6499685	-2.0273935	0.300078899999999	"HCI1"
1806	-0.626562	-1.8222	0.23817745	"HCI1"
1807	-0.6439415	-1.875845	0.3578469	"HCI1"
1808	-0.001966224	-0.91156855	0.69164305	"HCI1"
1809	-0.6601995	-2.024655	0.37713915	"HCI1"
1810	-0.5542515	-1.5753335	0.34760405	"HCI1"
1811	-0.574095	-1.6394765	0.28718055	"HCI1"
1812	0.01756775	-0.90957385	0.7046988	"HCI1"
1813	0.6602375	0.00348860400000001	1.1203055	"HCI1"
1814	-0.5224485	-1.545613	0.32919535	"HCI1"
1815	-0.112971	-1.006149	0.63510215	"HCI1"
1816	0.7987725	0.25304505	1.216012	"HCI1"
1817	0.5655575	-0.02806719	1.0290505	"HCI1"
1818	-0.6172705	-1.8550435	0.28846795	"HCI1"
1819	-0.389909	-1.5722005	0.4476499	"HCI1"
1820	-0.236166	-1.460049	0.5108078	"HCI1"
1821	-0.6646055	-1.986844	0.28600845	"HCI1"
1822	1.01279	0.6109971	1.4041975	"HCI1"
1823	-0.626128	-1.7525165	0.32507385	"HCI1"
1824	-0.771827	-2.6868165	0.2804366	"HCI1"
1825	2.03696	1.759339	2.2963755	"HCI1"
1826	0.01488195	-0.83078405	0.67207565	"HCI1"
1827	0.250187	-0.48493855	0.8127057	"HCI1"
1828	-0.669228	-1.9996975	0.21420685	"HCI1"
1829	-0.6768195	-2.0142565	0.193990899999999	"HCI1"
1830	-0.7036805	-1.8426505	0.30085915	"HCI1"
1831	-0.684623	-1.8901015	0.205551649999999	"HCI1"
1832	0.390107	-0.31473335	0.9106879	"HCI1"
1833	-0.529828	-1.7466505	0.310895349999999	"HCI1"
1834	0.953506	0.5455315	1.323994	"HCI1"
1835	0.7170275	0.24419645	1.1284195	"HCI1"
1836	-0.722735	-1.9062015	0.18206825	"HCI1"
1837	-0.715715	-1.728404	0.17660785	"HCI1"
1838	0.240759	-0.51969615	0.7669939	"HCI1"
1839	0.35891	-0.30576985	0.8214942	"HCI1"
1840	1.922885	1.701939	2.137152	"HCI1"
1841	-0.436055	-1.256844	0.27218795	"HCI1"
1842	1.38268	1.123855	1.6354895	"HCI1"
1843	1.235355	0.9613517	1.4865865	"HCI1"
1844	0.52773	0.08759545	0.8992853	"HCI1"
1845	-0.463468	-1.3263685	0.2043923	"HCI1"
1846	2.270895	2.0756375	2.474022	"HCI1"
1847	-0.576974	-1.5366855	0.18892995	"HCI1"
1848	-1.01829	-2.120167	-0.1407779	"HCI1"
1849	-0.06417	-0.6754711	0.4674939	"HCI1"
1850	-0.478114	-1.344606	0.15698435	"HCI1"
1851	-0.0639265	-0.68995435	0.4409068	"HCI1"
