"ID";"River_station";"CatchmentArea_km2";"XLambert.II";"YLambert.II";"Elevation";"first_data";"last_data";"Lat";"Lon";"HER_Original";"XG";"YG";"HER_Clustered";"S";"P10";"DD";"Zmean";"name2"
"J0323010";"Le Guyoult à Epiniac";63;302691;2399536;18;1967;2010;48.52602;-1.68898417;12;304406.25;2396390.5;12;64;42.70172;854.15625;72.64062;"Le Guyoult à Epiniac"
"J0626610";"Le Néal à Médréac";82;274999;2372787;57;1968;2010;48.27256965;-2.04301799;12;277121.9375;2370439;12;82;49.65171;896.68292;99.7439;"Le Néal à Médréac"
"J2603010";"Le Jarlot à Plougonven";44;147389;2414104;18;1966;2010;48.56650835;-3.80004556;12;149978.26562;2407826;12;45.99998;55.80761;898.6087;159.13043;"Le Jarlot à Plougonven"
"J2723010";"La Penze à Taulé [Penhoat]";141;138459;2416959;6;1967;2010;48.5857684;-3.92369008;12;136597.90625;2406213.25;12;143.00003;57.93077;924.28674;143.27972;"La Penze à Taulé "
"J3024010";"Le Guillec à Trézilidé";43;127486;2421218;35;1966;2010;48.61598443;-4.07657618;12;124695.125;2416524.5;12;41;51.76488;945.60974;88.63415;"Le Guillec à Trézilidé"
"J3205710";"LAber Wrach au Drennec";24;105685;2413594;34;1966;2010;48.53135814;-4.3622648;12;106239.13281;2411065.25;12;22.99999;49.47305;1222.82605;73.21739;"L'Aber Wrac'h au Drennec"
"J4214510";"Le Langelin à Briec [Pont D72]";7.04;129481;2363792;130;1967;2010;48.10283196;-3.987041;12;128000;2363000;12;8;64.13625;775.5;130.375;"Le Langelin à Briec "
"J4224010";"Le Jet à Ergué-Gabéric";107;126454;2351318;18;1966;2010;47.98883256;-4.0140285;12;133563.0625;2352301.75;12;110.99996;59.60541;1127.92798;119.54955;"Le Jet à Ergué-Gabéric "
"J4514010";"Le Moros à Concarneau [PONT D22]";20.1;135882;2338855;10;1967;2010;47.8838802;-3.8749431;12;139150;2338250;12;20;54.809;932;65.1;"Le Moros à Concarneau "
"J4614010";"Le Ster Goz à Bannalec [Pont Meya]";69.7;145275;2340784;28;1966;2010;47.90777838;-3.75173653;12;145659.42188;2349094.5;12;69.00004;63.48348;1184.15942;141.39131;"Le Ster Goz à Bannalec "
"J5613010";"LEvel à Guénin";316;203163;2335808;39;1964;2010;47.90086998;-2.97471704;12;212226.10938;2343554;12;314;56.45095;930.23566;105.21338;"L'Evel à Guénin"
"J5704810";"Le Coët-Organ à Quistinic [Kerdec]";47.7;186330;2337444;38;1964;2010;47.90510736;-3.20081914;12;188460.78125;2342186.25;12;51.00002;63.82608;1030.13721;127.70588;"Le Coët-Organ à Quistinic "
"J7353010";"Le Meu à Montfort-sur-Meu [LAbbaye]";468;281446;2356379;29;1968;2010;48.12845184;-1.94428341;12;265662.5625;2360496;12;486.00027;51.03453;804.73248;93.66872;"Le Meu à Montfort-sur-Meu "
"J7483010";"La Seiche à Bruz [Carcé]";820;297327;2343403;15;1967;2010;48.01950612;-1.722263;12;321569.53125;2338953.25;12;833.99969;46.30603;879.29974;70.26139;"La Seiche à Bruz "
"J7824010";"LAron à Grand-Fougeray [La Bernardais]";118;297959;2309261;13;1969;2010;47.71315668;-1.69036273;12;303956.90625;2315301.75;12;115.99999;49.44888;804.70691;61.26724;"L'Aron à Grand-Fougeray "
"J7973010";"Le Canut Sud à Saint-Just [La Rivière Colombel]";37;276705;2317415;25;1968;2010;47.77624728;-1.97914027;12;279416.65625;2319750;12;36;48.87528;1071.63892;64.55556;"Le Canut Sud à Saint-Just "
"J8363110";"LYvel à Loyat [Pont D 129]";315;249033;2343342;33;1968;2010;47.99475523;-2.3683857;12;250985.65625;2354481;12;312.99991;50.14939;839.40253;108.68371;"L'Yvel à Loyat "
