ID	X	Y	S	Z	G
O3006710	3.7886332	44.34132667	10	1008	8.00
O3011010	3.75442524	44.36147112	67	905	8.00
O3031010	3.61845952	44.34566226	189	565	8.00
O3035210	3.61288496	44.35574611	25	591	8.00
O3121010	3.49662631	44.33388064	621	480	8.00
O3364010	3.2902005	44.07277734	300	433	8.00
O3454310	2.92172723	44.08167847	112	330	3.00
O4102510	2.81218802	43.61885697	48	792	8.00
O4704030	2.44063835	43.82214053	72	413	3.00
O5042510	2.84599748	44.39906887	270	580	8.00
O5055010	2.87249626	44.41570528	110	580	3.00
O5224010	2.04943182	44.35679769	199	405	3.00
O5284310	2.04362201	44.20883627	103	305	3.00
O5312910	2.80168879	44.30854029	138	732	3.00
O5344010	2.81333252	44.21025243	57	806	3.00
O5464310	2.4347979	44.10880788	175	360	3.00
O6804630	0.32427711	43.39935033	10.2	238	11.00
O7041510	3.4257006	44.4834955	465	663	8.00
O7354010	3.12825735	45.01185201	310	749	3.00
O7444010	3.08554144	44.82631849	283	917	3.00
O8113510	1.98468901	44.58843879	676	182	3.00
P0115010	2.6963814	45.5286377	19.8	905	3.00
P0115020	2.54267711	45.54380681	85	557	3.00
P0364010	2.75198288	45.3342968	172	693	3.00
P0885010	2.38776553	45.29687866	117	366	3.00
P1422510	2.38466892	45.11887493	112	595	3.00
P1502510	2.1947156	45.0832891	513	370	3.00
P2484010	1.17113212	44.78941511	603	74	11.00
P3021010	1.92417444	45.60405854	143	675	13.00
P3234010	1.41513717	45.30611749	103	145	13.00
P3264310	1.38069626	45.26210417	58	115	13.00
P4271010	0.95960626	44.90393229	3736	51	11.00
P54040XX	0.36639922	44.88947969	73.5	32	11.00
P5715010	-0.17654747	44.72488969	30	33	11.00
P8012510	0.74967791	45.51586532	140	150	13.00
Q0214010	0.02214005	43.17552269	89.6	333	11.00
Q0522520	0.25923129	43.13153393	173	292	1.00
Q5501010	-0.85324282	43.508747	2575	38	1.00
Q6142910	-0.59667631	43.1885972	488	215	1.00
Q7002910	-0.60801527	43.19886035	1085	204	1.00
Q7322510	-0.87440672	43.24686872	480	129	1.00
Q9164610	-1.33676564	43.18437142	156	144	1.00
S2235610	-0.77411011	44.46525637	36	23	11.00
S2242510	-0.87154963	44.54812561	1650	14	11.00
U0415010	6.50110941	47.82731563	123	343	4.00
U0474010	6.07620498	47.74835054	1020	211	10.00
U1004010	6.66761716	47.80273169	73.5	380	4.00
U1054010	6.18088801	47.41585576	1250	229	10.00
U1084010	5.54501357	47.29319953	2038	185	10.00
U1224010	5.18921606	47.37304117	700	223	10.00
U1224020	5.21754141	47.28040834	744	201	10.00
U1235020	5.22098967	47.23790686	264	196	10.00
U1324010	4.98081498	47.33269362	655	243	10.00
U2356610	6.75278479	47.50034009	42.2	322	10.00
U2615830	5.95746302	47.0316532	217	317	5.00
U2634010	5.81498734	47.04354668	1380	237	5.00
U2722010	5.35073249	46.92249769	7290	181	5.00
U3214010	4.64890631	46.40414807	332	244	3.00
U4014010	5.28987121	46.17159095	84.4	237	5.00
U4204010	5.19865865	46.11954897	34	251	5.00
U4235010	4.99726173	46.15679667	102	218	5.00
U4624010	4.64327332	45.87420453	336	206	3.00
U4635010	4.59983196	45.81064294	219	236	3.00
U4644010	4.68761421	45.85858842	792	194	3.00
V0222010	6.27104587	46.15060129	1664	410	5.00
V1015010	5.92214601	46.28295524	85	846	5.00
V1015030	5.86468233	46.21984344	119	572	5.00
V1255010	6.10339879	45.72065287	249	575	5.00
V1264010	5.92055097	45.90159776	1350	253	5.00
V1774010	5.15914639	45.71526176	703	202	5.00
V2202010	5.76667556	46.68580841	650	456	5.00
V2206010	5.77530933	46.64811354	49	495	5.00
V2322010	5.66563692	46.39752674	1120	329	5.00
V2414010	5.86784497	46.41654501	216	423	5.00
V4145210	4.51832425	44.82956264	71	411	8.00
V4225010	5.49083022	44.69280794	227	558	7.00
V4275010	5.14586725	44.77575397	108	325	5.00
V4414010	5.01530428	44.62516108	186	264	7.00
V4455010	4.9674358	44.53084263	85	245	7.00
V7115010	3.7160378	44.19126764	47	380	8.00
V7135010	3.96101625	44.07402985	263	136	8.00
X0310010	6.48649854	44.55190508	2170	787	2.00
X0434010	6.65232094	44.38415454	549	1132	2.00
X0454010	6.40091426	44.45001597	946	790	2.00
X0500010	6.28035752	44.47039163	3580	652	2.00
X1225010	6.27564786	44.21733504	165	805	7.00
X2202010	6.53938897	43.87943214	655	790	2.00
Y0655010	2.74358294	42.81031969	305	91	6.00
Y1012010	2.12545497	42.81696387	134	1391	1.00
Y1105010	2.22807429	42.81531275	136	373	1.00
Y1232010	2.3606411	43.21420899	1770	96	6.00
Y2015010	3.65843021	44.00026508	159	187	8.00
Y2035010	3.68169855	43.93979973	332	149	8.00
Y2214010	3.32373658	43.72825007	228	153	8.00
Y4002010	5.72668046	43.48721564	49	246	6.00
Y4615020	6.11174782	43.18648442	277	29	6.00
Y6432010	7.19587256	43.90849813	1830	170	7.00
Y8814010	9.07606221	41.72579185	130	300	6.00
Y9315010	9.47055257	42.44532743	114	35	6.00
